Area,Centroid_1,Centroid_2,BoundingBox_1,BoundingBox_2,BoundingBox_3,BoundingBox_4,MajorAxisLength,MinorAxisLength,Eccentricity,Orientation,ConvexArea,FilledArea,EulerNumber,EquivDiameter,Solidity,Extent,Perimeter,PerimeterOld,neg_red_mean,neg_blue_mean,y
81,635.2345679,237.5925926,630.5,230.5,10,14,15.42572159,7.012683788,0.890690718,-60.59815289,86,82,0,10.1554125,0.941860465,0.578571429,33.354,35.21320344,79.81481481,126.8641975,0
73,634.8630137,980.0684932,630.5,973.5,9,13,13.09432831,7.961022117,0.793956295,61.60047647,86,77,-3,9.64087583,0.848837209,0.623931624,35.132,37.21320344,89.32876712,128.4383562,0
68,645.1029412,193.8970588,637.5,190.5,14,7,13.96241727,6.779875039,0.874192057,1.745666749,78,70,-1,9.304852983,0.871794872,0.693877551,32.113,34.14213562,98.14705882,135.6176471,0
82,647.8780488,167.5487805,643.5,160.5,9,13,13.29651252,8.43530503,0.773005097,-69.09277506,89,83,0,10.21790794,0.921348315,0.700854701,32.204,34.14213562,77.92682927,120.7560976,0
64,662.109375,176.578125,655.5,172.5,12,9,12.27988311,7.895066488,0.765927591,10.43792441,80,67,-2,9.027033337,0.8,0.592592593,33.081,35.21320344,87.046875,124.34375,0
115,680.4608696,942.9652174,670.5,930.5,22,20,28.88197584,13.76581854,0.87910771,-42.48218304,289,129,-10,12.10051849,0.397923875,0.261363636,106.439,111.5391052,78.77391304,119.2956522,0
75,676.9066667,244.6666667,672.5,236.5,8,16,15.54732976,8.19044454,0.849984837,-82.44700535,98,83,-4,9.772050238,0.765306122,0.5859375,48.976,52.04163056,91.93333333,137.6933333,0
118,684.2457627,177.3474576,679.5,167.5,10,19,19.81513617,8.304187851,0.907947901,-77.53973521,135,121,-2,12.2573352,0.874074074,0.621052632,45.122,47.79898987,95.10169492,131.0508475,0
70,688.5285714,199.6428571,685.5,192.5,6,15,15.06646782,6.1237285,0.913674128,-81.71524913,73,70,1,9.440697439,0.95890411,0.777777778,32.088,33.89949494,96.77142857,133.3857143,0
53,695.7169811,360.509434,692.5,353.5,7,14,13.16070873,6.973680782,0.848068621,-89.2165782,73,53,1,8.214724333,0.726027397,0.540816327,42.335,45.21320344,103.0943396,146.6981132,0
54,696.037037,394.462963,692.5,386.5,8,14,15.50041766,6.565101989,0.905875741,-69.06405379,75,58,-2,8.291859587,0.72,0.482142857,48.133,50.28427125,74.57407407,118.6666667,0
55,697,198.6727273,694.5,191.5,6,15,15.44319202,5.944198441,0.922955208,87.70031107,73,61,-3,8.368283872,0.753424658,0.611111111,35.86,37.21320344,92.74545455,141.0181818,0
71,702.0140845,45.30985915,698.5,36.5,8,19,20.89766459,6.043805115,0.957265799,87.01628587,117,72,0,9.507891863,0.606837607,0.467105263,49.53,52.627417,98.78873239,140,0
106,711.8207547,229.3301887,704.5,221.5,13,17,19.63959877,12.77586294,0.759492999,-60.15390197,172,128,-5,11.61737456,0.61627907,0.479638009,66.087,69.69848481,94.24528302,133.2075472,0
60,715.7166667,5.866666667,710.5,0.5,10,10,11.7142064,7.165320147,0.79110698,42.21580853,68,61,0,8.740387445,0.882352941,0.6,28.4,30.38477631,89.81666667,139.55,0
106,716.1698113,406.1603774,710.5,394.5,10,24,22.60517577,10.57978555,0.883715268,-83.66110727,178,111,-2,11.61737456,0.595505618,0.441666667,98.904,103.9827561,101.2735849,134.2169811,0
58,718.0344828,44.5,713.5,40.5,9,8,10.0503466,7.894797664,0.618830031,-25.18651472,63,60,-1,8.593479714,0.920634921,0.805555556,27.333,28.72792206,102.5172414,142.5862069,0
91,719.7692308,472.5714286,713.5,465.5,12,15,16.45208169,9.544942492,0.814498082,-61.83255162,127,105,0,10.76405122,0.716535433,0.505555556,54.526,57.35533906,97.47252747,143.2197802,0
50,720.24,144.94,715.5,140.5,9,11,11.07287143,6.672254859,0.798060939,-61.33121661,61,50,1,7.978845608,0.819672131,0.505050505,30.732,32.97056275,99.16,142.22,0
55,720.3636364,287.0545455,716.5,278.5,9,17,16.3025095,7.947824145,0.873110973,-89.10238163,98,55,1,8.368283872,0.56122449,0.359477124,57.735,61.01219331,100.6181818,142.7090909,0
52,729.3461538,779.8076923,725.5,773.5,9,12,12.33859105,6.01869207,0.872958707,55.27118214,62,55,0,8.13685789,0.838709677,0.481481481,28.301,29.79898987,92.05769231,126.0384615,0
56,733.2142857,390.5357143,729.5,384.5,7,13,12.61151499,6.141530522,0.873414228,84.37432897,67,56,1,8.444016491,0.835820896,0.615384615,29.508,31.55634919,92.375,132.4285714,0
434,740.2442396,47.12672811,732.5,20.5,15,58,62.84000547,13.52175354,0.976574961,-88.9124371,714,451,-11,23.50714705,0.607843137,0.498850575,176.155,187.0954544,88.32949309,119.640553,0
53,738.5471698,596.7924528,732.5,588.5,14,14,17.47006385,7.646866801,0.89911495,-52.13970884,110,58,-2,8.214724333,0.481818182,0.270408163,60.456,63.84062043,99.67924528,140.7924528,0
99,743.7575758,5.535353535,735.5,0.5,14,14,17.15104883,10.84101833,0.774894416,-41.27899935,132,107,-4,11.22723096,0.75,0.505102041,54.203,56.87005769,106.7878788,142.7575758,0
82,743.9146341,345.7073171,738.5,338.5,10,14,13.79985157,10.5558742,0.644117399,-81.83127907,112,94,-1,10.21790794,0.732142857,0.585714286,43.551,46.04163056,106.9634146,149.9268293,0
53,746.5283019,646.1320755,739.5,640.5,14,12,13.57077748,9.485901717,0.715126835,43.24209336,107,59,-1,8.214724333,0.495327103,0.31547619,56.784,59.59797975,90.45283019,132.8490566,0
73,744.3835616,455.3835616,740.5,447.5,8,15,15.00260054,6.682936512,0.895305886,-83.80850849,87,74,0,9.64087583,0.83908046,0.608333333,34.379,36.97056275,79.8630137,108.4520548,0
53,745.7735849,106.6792453,742.5,99.5,6,13,12.9717358,5.822082362,0.893618006,84.97335799,61,53,1,8.214724333,0.868852459,0.679487179,30.815,32.38477631,91.98113208,140.3584906,0
50,749.52,471.72,745.5,467.5,8,9,9.870431912,9.093978257,0.388768691,68.45105639,63,59,-1,7.978845608,0.793650794,0.694444444,28.168,29.89949494,97.6,133.08,0
95,757.8105263,209.6947368,752.5,200.5,12,19,17.86800196,9.874422498,0.833425651,86.2692087,151,105,0,10.99807968,0.629139073,0.416666667,65.484,69.01219331,101.3789474,144.9894737,0
121,758.9752066,929.6694215,752.5,922.5,13,16,15.86425873,10.80299432,0.732316585,-50.18839807,138,123,-1,12.41217084,0.876811594,0.581730769,46.016,48.52691193,82.59504132,118.8595041,0
104,758.1057692,371.4038462,753.5,362.5,10,17,15.83859486,9.161888167,0.81571547,-67.80034758,118,106,-1,11.50725478,0.881355932,0.611764706,41.665,44.38477631,87.04807692,127.4230769,0
104,758.9038462,470.125,754.5,462.5,10,16,15.83285131,8.929916192,0.825766675,-80.64258203,115,106,-1,11.50725478,0.904347826,0.65,38.407,40.627417,88.00961538,131.3365385,0
200,766.83,78.2,755.5,65.5,22,27,35.6532268,10.73367064,0.953605995,55.28290499,346,206,-5,15.95769122,0.578034682,0.336700337,120.473,126.9533188,98.125,125.865,0
67,763.4328358,552.1044776,757.5,543.5,14,15,16.7680359,10.71192562,0.769347864,-40.95056737,139,69,-1,9.236181543,0.482014388,0.319047619,67.915,72.18376618,99.73134328,139.1641791,0
63,762.3492063,123.5555556,759.5,116.5,6,14,14.70923042,6.383505901,0.900922699,-87.69583831,75,67,0,8.956231982,0.84,0.75,36.124,38.14213562,97.12698413,143.2380952,0
115,767.3130435,320.773913,760.5,313.5,13,15,14.82610076,10.73384575,0.689817754,-76.62945136,132,119,-3,12.10051849,0.871212121,0.58974359,42.542,45.45584412,91.28695652,136.573913,0
69,771.2173913,961.5362319,764.5,956.5,16,10,16.25575492,7.090672198,0.89985237,-23.27576361,95,75,-5,9.373021316,0.726315789,0.43125,42.253,44.28427125,89.4057971,129.6376812,0
57,770.1929825,106.0175439,765.5,100.5,9,11,10.82589107,7.674701088,0.705287936,-82.23405843,70,59,-1,8.519075892,0.814285714,0.575757576,33.652,35.45584412,98.14035088,131.4035088,0
145,778.3793103,376.0689655,769.5,368.5,19,14,20.98325544,11.72288442,0.829384607,-12.66634309,200,151,-5,13.58748446,0.725,0.545112782,71.653,76.18376618,86.06206897,126.7103448,0
79,775.4050633,143.5949367,771.5,133.5,8,18,18.89304679,7.155640173,0.925501215,86.76560183,108,80,0,10.02925341,0.731481481,0.548611111,51.689,54.28427125,103.4683544,141.8734177,0
78,779.5128205,588.5384615,772.5,582.5,14,14,15.91174036,15.15460376,0.304799684,-19.10379919,158,81,-2,9.96557497,0.493670886,0.397959184,78.84,83.01219331,91.23076923,133.3974359,0
62,781.3225806,1010.854839,774.5,1006.5,13,9,12.27699465,8.553700616,0.717337415,-12.16357445,88,71,-5,8.884866447,0.704545455,0.52991453,38.597,41.21320344,78.35483871,120.3870968,0
50,780,117.54,776.5,112.5,7,10,9.648629523,6.831179619,0.706217636,-87.23153877,55,50,1,7.978845608,0.909090909,0.714285714,24.455,26.14213562,92.4,137.94,0
75,782.96,718.92,776.5,710.5,12,18,19.42119465,9.807269337,0.863132416,-65.9786041,132,92,-5,9.772050238,0.568181818,0.347222222,54.046,57.11269837,94.86666667,136.2666667,0
155,788.8193548,137.8645161,780.5,125.5,17,22,25.07875165,10.67544518,0.904875229,-48.36826807,217,168,-4,14.04820734,0.714285714,0.414438503,62.192,65.9411255,98.76129032,134.6322581,0
140,789.1571429,925.3928571,781.5,918.5,16,14,18.04332795,10.81059965,0.800639295,42.53152107,167,142,-1,13.35116236,0.838323353,0.625,52.557,56.28427125,94.93571429,140.1285714,0
96,790.8125,570.1666667,784.5,564.5,12,13,14.1060701,11.35833799,0.592990792,-58.50886578,127,104,-6,11.05581278,0.755905512,0.615384615,48.968,51.45584412,95.97916667,139.6458333,0
79,792.0886076,996.1139241,784.5,989.5,14,15,17.45503606,8.288128708,0.880078961,-43.95716792,112,84,-4,10.02925341,0.705357143,0.376190476,61.68,65.254834,105.6075949,141.9240506,0
73,790.0684932,183.5342466,786.5,175.5,7,17,16.95320139,6.615477511,0.920721666,82.8827285,88,75,-1,9.64087583,0.829545455,0.613445378,43.46,46.04163056,101.0273973,144.9452055,0
52,794.8653846,512.5769231,788.5,505.5,13,12,12.71335086,11.63709551,0.402671686,62.41016684,108,55,-2,8.13685789,0.481481481,0.333333333,60.414,63.9411255,103.1538462,141.3076923,0
53,792.754717,374.3396226,789.5,368.5,7,12,12.89960656,6.485558886,0.864419158,-85.18987293,69,55,-1,8.214724333,0.768115942,0.630952381,35.595,37.79898987,97.22641509,139.245283,0
125,796.728,493.656,789.5,484.5,13,18,19.64158264,8.949959665,0.890151916,-63.9867798,144,131,-5,12.61566261,0.868055556,0.534188034,45.536,48.28427125,79.76,130.216,0
207,804.2753623,946.4444444,789.5,936.5,27,19,26.15494728,17.55403321,0.741316717,-5.315889594,338,228,-15,16.23454914,0.612426036,0.403508772,101.477,106.1248917,81.96135266,121.52657,0
61,795.8688525,360.6065574,790.5,354.5,12,11,13.54648259,7.243831961,0.845017307,-37.31604399,79,62,0,8.812923024,0.772151899,0.462121212,45.991,48.28427125,95.47540984,138.1803279,0
63,796.5396825,214.1428571,792.5,207.5,8,15,13.86608512,6.701027316,0.875472782,-84.11879649,81,63,1,8.956231982,0.777777778,0.525,37.489,40.04163056,91.66666667,138.4126984,0
96,802.1666667,315.3229167,797.5,307.5,10,15,12.95208327,10.11421566,0.624662443,84.54515491,108,99,-2,11.05581278,0.888888889,0.64,35.959,37.79898987,87.79166667,128.8020833,0
84,806.5595238,888.8571429,797.5,883.5,18,11,19.01518778,8.537948033,0.893528355,-15.07954401,128,97,-4,10.34176589,0.65625,0.424242424,49.34,52.04163056,86.5,125.0119048,0
76,802.6052632,239.0131579,798.5,231.5,9,16,15.60970277,8.782914108,0.826690207,78.02030388,108,83,-2,9.836981519,0.703703704,0.527777778,48.621,51.11269837,95.21052632,135.5789474,0
58,806.9137931,204.1551724,803.5,197.5,7,13,12.87465113,6.14696458,0.878660507,-81.3758339,66,59,0,8.593479714,0.878787879,0.637362637,29.599,31.55634919,92.48275862,136.362069,0
60,807.8,920.6,803.5,915.5,10,11,10.33614694,9.05340082,0.482498003,-64.54096982,73,67,-3,8.740387445,0.821917808,0.545454545,30.36,32.38477631,85.98333333,131.0166667,0
64,809.078125,1008.828125,803.5,1002.5,12,12,12.92095815,9.227415384,0.699999558,-30.41397101,96,74,-9,9.027033337,0.666666667,0.444444444,37.944,40.04163056,85.0625,118.453125,0
55,808.0181818,176.9636364,804.5,171.5,7,11,11.23748418,6.516767653,0.814678126,75.69852163,59,56,0,8.368283872,0.93220339,0.714285714,25.191,26.72792206,87.50909091,127.3818182,0
58,809.6206897,360.5517241,804.5,353.5,10,14,14.90171911,7.32863442,0.870709371,-44.9384892,90,59,0,8.593479714,0.644444444,0.414285714,43.559,46.627417,101.9482759,138.9655172,0
79,810.3291139,525.6202532,805.5,518.5,11,13,13.65223467,10.63977454,0.626597456,-67.01881862,103,98,-4,10.02925341,0.766990291,0.552447552,35.496,37.21320344,103.3544304,146.9113924,0
50,811.5,409.24,807.5,404.5,8,9,10.84200906,6.942327151,0.768110419,-58.23759889,58,55,-2,7.978845608,0.862068966,0.694444444,26.018,27.3137085,70.58,112.32,0
119,815.1680672,504.4201681,808.5,495.5,13,20,22.48759876,10.73048658,0.8788091,-74.09371665,179,121,-1,12.30916349,0.664804469,0.457692308,78.666,83.59797975,95.93277311,135.8151261,0
674,830.4525223,70.15133531,809.5,50.5,45,43,49.25114239,37.43094686,0.649921205,32.64360375,1376,704,-22,29.294427,0.489825581,0.348320413,307.405,326.0904038,86.21068249,116.2462908,0
97,815.0927835,385.2680412,809.5,375.5,11,20,19.24978744,7.779189791,0.914706765,-73.29110897,120,103,0,11.11324596,0.808333333,0.440909091,45.073,47.69848481,94.21649485,132.4948454,0
65,815.2,208.4307692,810.5,203.5,10,11,10.87233786,8.316106917,0.644164805,55.82841775,73,65,1,9.097283683,0.890410959,0.590909091,31.948,33.79898987,76.52307692,107.5384615,0
62,813.5645161,287.2903226,810.5,279.5,7,15,17.32822812,5.490471274,0.948475232,-72.98821202,74,66,-3,8.884866447,0.837837838,0.59047619,36.033,38.14213562,89.53225806,125.6612903,0
